command,mean,stddev,median,user,system,min,max,parameter_seed
./map-2-1.native,1.59053084386,0.008968955229310372,1.59211300376,1.589619,0.0009571399999999999,1.57343804776,1.60023921576,1
./map-1-1.native,1.6356690840600003,0.002772885644948274,1.6360296007600001,1.6345096,0.0012245799999999999,1.6321578277600002,1.64039314476,1
./map-2-2.native,10.18297809126,0.015435189507339611,10.18193811026,10.1798131,0.0027974999999999996,10.16147436076,10.20659609276,2
./map-1-2.native,10.291811916160002,0.009115813033517101,10.29510173776,10.2898497,0.00164336,10.278144449760001,10.30240899776,2
./map-2-3.native,2.8262528992600005,0.007337601090087022,2.8275328437600002,2.8245715,0.0016602999999999995,2.80834983176,2.83446688176,3
./map-1-3.native,2.8257958000600008,0.010080144610410546,2.82701155126,2.8239587999999998,0.0018199,2.80745332076,2.8386565217600004,3
./map-2-4.native,2.4249145326600003,0.011118548160725416,2.4286050617600003,2.4239618,0.0009566999999999999,2.4087650867600003,2.4402182157600003,4
./map-1-4.native,2.4203441141599997,0.011094488269250847,2.42147086376,2.4197029999999997,0.00066238,2.4029394707600003,2.43293408376,4
./map-2-5.native,6.98600915496,0.0067040631251360375,6.986771533760001,6.982156900000001,0.0036130199999999993,6.974852412760001,6.9959009427600005,5
./map-1-5.native,6.98053187266,0.01033656000048381,6.98023287226,6.9782773,0.00201458,6.96153342876,6.99564935976,5
./map-2-6.native,8.970711500959998,0.023278279754885958,8.96329738126,8.967649,0.00274782,8.94369562876,9.010376260760001,6
./map-1-6.native,8.31669487026,0.030507896307017314,8.309548707760001,8.3154147,0.0010484399999999999,8.28753491776,8.38239050476,6
./map-2-7.native,3.4661289805599997,0.008400194654912931,3.4672454262600003,3.4648269,0.00128584,3.4495268397600003,3.47719487276,7
./map-1-7.native,3.50460041156,0.008532591528826223,3.5061541612600005,3.5033558,0.0011889000000000001,3.48899469976,3.5151508067600004,7
./map-2-8.native,2.4623579062600003,0.008661921842133663,2.4647578367600005,2.4605993999999995,0.00178344,2.44932458276,2.4767160287600003,8
./map-1-8.native,2.45479260456,0.008822880442390256,2.4564486277600004,2.4534987999999998,0.00124472,2.4416612997600002,2.46617394176,8
./map-2-9.native,4.595216947260001,0.007937267512538163,4.59688609526,4.592907,0.0021950599999999995,4.58099545676,4.6052587667600005,9
./map-1-9.native,4.79965428206,0.011386617503058225,4.801921306260001,4.7982287,0.0013263999999999997,4.77837278276,4.810787303760001,9
./map-2-10.native,6.18668228006,0.014068682079354015,6.186022960260001,6.184352700000001,0.0021494599999999997,6.17109057776,6.20866367376,10
./map-1-10.native,6.11763579896,0.007292418222713083,6.117947564760001,6.1153755,0.00203228,6.10533678876,6.1284189947600005,10
./map-2-11.native,4.75081948276,0.006062984845846304,4.75225441876,4.7484913,0.0021842199999999997,4.7393056617600005,4.75783526176,11
./map-1-11.native,5.05877046576,0.01549633393472552,5.06191744176,5.0554383000000005,0.00313798,5.03593025076,5.08047622676,11
./map-2-12.native,5.5317222171600005,0.024076932966998244,5.527111358760001,5.5299372,0.0016562,5.50109478076,5.57250460076,12
./map-1-12.native,5.194782750260001,0.008600774247411609,5.19488499776,5.192963499999999,0.0016373800000000001,5.18084637976,5.20936724676,12
./map-2-13.native,2.8090033422600005,0.008315719100025223,2.81126042926,2.8065936000000002,0.00236556,2.7882140247600002,2.82081692176,13
./map-1-13.native,2.9074583782600003,0.009262466411714718,2.9088116807600004,2.9046407,0.0027423200000000003,2.89092190776,2.92544660876,13
./map-2-14.native,1.20968515576,0.010801706320313813,1.21273584026,1.2079065,0.00179386,1.18929667276,1.22450842776,14
./map-1-14.native,1.2558963633600002,0.007462714075346957,1.2564113032600002,1.2554615,0.00048313999999999996,1.23631956176,1.2622417777600001,14
./map-2-15.native,10.453266783859998,0.00850147087930778,10.453577508759999,10.4502961,0.00260016,10.44109167876,10.46906321576,15
./map-1-15.native,10.83727663706,0.016036162228796152,10.83982306376,10.8347604,0.0021240599999999997,10.81214182576,10.86465203076,15
./map-2-16.native,3.94393690196,0.00902899822570917,3.9431358857600003,3.9422743,0.0015710599999999998,3.9323632387600003,3.9577192667600003,16
./map-1-16.native,3.66962074996,0.0102684639285988,3.67310707776,3.6668699000000005,0.00266786,3.64739006976,3.6812886067600004,16
./map-2-17.native,5.376937355059999,0.02835171768407939,5.36877369826,5.3752923,0.001523,5.34961200476,5.44176045976,17
./map-1-17.native,5.69965966346,0.0075920950994800476,5.70151698776,5.6970136,0.00244008,5.6877846957600005,5.70825446376,17
./map-2-18.native,2.17833059416,0.010976990278306245,2.17097237926,2.1768866,0.0014204,2.1685733817600004,2.1961055697600003,18
./map-1-18.native,2.03364000906,0.007192699513390745,2.03544961076,2.0314153999999998,0.0022011599999999997,2.01588107276,2.04073015376,18
./map-2-19.native,7.71475186146,0.016670361545391886,7.71410400676,7.712684600000001,0.0018309000000000003,7.6894638867600005,7.74086206276,19
./map-1-19.native,7.711915093060002,0.04152217109712287,7.70491039176,7.710082300000001,0.0015837,7.67945861176,7.825428741760001,19
./map-2-20.native,9.54263515316,0.006998713294389847,9.54419407426,9.539620000000001,0.0026902,9.531512707760001,9.55184948276,20
./map-1-20.native,9.795123423460002,0.01395445383408354,9.79707547076,9.792557599999999,0.0022174,9.77956573276,9.82421857176,20
./map-2-21.native,1.72302644596,0.010768476715369523,1.72937295526,1.7203098999999997,0.00262104,1.70660770076,1.7373077887600001,21
./map-1-21.native,1.8269767181600003,0.008812448975972302,1.82438578176,1.8259197999999999,0.0010011199999999999,1.81712982276,1.83908037876,21
./map-2-22.native,10.44729545226,0.014657717422292335,10.45073847926,10.443829,0.0028694799999999998,10.42238070776,10.46711343476,22
./map-1-22.native,10.71624680276,0.010789703932028534,10.71539727626,10.7130878,0.0027938999999999998,10.69927137076,10.734813131760001,22
./map-2-23.native,9.83145945176,0.018356659402469368,9.82573280726,9.8276778,0.00335798,9.803064795760001,9.86615334376,23
./map-1-23.native,10.18173663086,0.009052549894194815,10.183741303760002,10.1791411,0.0022314,10.16570745976,10.19407648776,23
./map-2-24.native,7.85544147466,0.009305391437435901,7.8572445467600005,7.853970599999999,0.0011844,7.83669215976,7.86568876476,24
./map-1-24.native,7.292125924359999,0.009676698367723708,7.29183460826,7.2902275,0.0016569999999999998,7.2747024187600005,7.31134664176,24
./map-2-25.native,3.8886432607600008,0.004711392055912935,3.8892895572600006,3.8861597999999993,0.00233958,3.8809362597600003,3.89637073076,25
./map-1-25.native,3.9203918314600004,0.00932439325010867,3.9215036027600005,3.9186453,0.00168414,3.90415220676,3.93254510676,25
./map-2-26.native,7.936212358660001,0.011150134205171774,7.939927212760001,7.9330916,0.0028390599999999996,7.915269185760001,7.95373289476,26
./map-1-26.native,8.02401486186,0.0068380107991459025,8.02580774026,8.021098599999998,0.00258422,8.00869229876,8.03243261076,26
./map-2-27.native,7.049298971260001,0.007020390023854588,7.05102222176,7.046683200000001,0.00236966,7.03553630376,7.05801113576,27
./map-1-27.native,7.0574980081600005,0.010580471896234084,7.05536246276,7.0551869,0.00205546,7.038895874760001,7.07182873176,27
./map-2-28.native,1.2627005075599997,0.007536146545142429,1.2644736022599998,1.2601067,0.0025590799999999996,1.24836269676,1.27030617076,28
./map-1-28.native,1.2912857047600002,0.008672777383568918,1.29481355476,1.2893271999999998,0.0019392199999999995,1.27491129876,1.29830724776,28
./map-2-29.native,6.07949290456,0.011746375822278773,6.08174895776,6.077725399999999,0.00157656,6.0532424357600005,6.09100299276,29
./map-1-29.native,5.92501459976,0.008876403992893257,5.92286452226,5.9234192000000006,0.0014292999999999999,5.912610148760001,5.93876776876,29
./map-2-30.native,5.72944302216,0.008470000301806096,5.72576653326,5.7277645,0.00150436,5.7218569317600005,5.74573404676,30
./map-1-30.native,5.6673646276600005,0.02072309094479044,5.6723747622600005,5.665538,0.0016515599999999998,5.6420253887600005,5.70900809976,30
./map-2-31.native,0.11809886666000002,0.008447035869175303,0.12220382176000003,0.11706019999999999,0.0011334,0.10511006876000001,0.12582989376,31
./map-1-31.native,0.11877777016000002,0.008979541602340923,0.12346130526000001,0.11738180000000001,0.0014861,0.10384830276000001,0.12596555676,31
./map-2-32.native,0.71981352416,0.007016471263876942,0.72277556126,0.7180639,0.0018067999999999997,0.70350648576,0.72626920776,32
./map-1-32.native,0.73103095756,0.01064777327641574,0.73191149026,0.7289631,0.00205728,0.7132234537600001,0.74985517776,32
./map-2-33.native,6.251870262559999,0.011625848461033532,6.25157653276,6.2493245,0.00233288,6.22795844276,6.2722346067600006,33
./map-1-33.native,6.09304178956,0.009451273616473379,6.0945854307600005,6.089220299999999,0.00359038,6.0761155137600005,6.10680198876,33
./map-2-34.native,6.11293672276,0.012342984284678008,6.11910004776,6.110947,0.0018227999999999999,6.0904730567600005,6.12273139676,34
./map-1-34.native,5.95628664196,0.012762952368176938,5.952423485760001,5.954714900000001,0.0014441399999999998,5.9383516827600005,5.97655273076,34
./map-2-35.native,6.291502439459999,0.010601873753413375,6.293678160260001,6.2899245,0.0014184999999999998,6.268422670760001,6.3076457897600005,35
./map-1-35.native,6.1270932256599995,0.014483757378969378,6.1254592167599995,6.123341399999999,0.0035405199999999997,6.10032376776,6.15166340876,35
./map-2-36.native,3.49292863306,0.007219751490150922,3.49525284726,3.489864,0.0029327399999999997,3.47996623076,3.5003734997600002,36
./map-1-36.native,3.6265772018599995,0.007498799265022421,3.6259249232600004,3.6234786999999997,0.00298522,3.61148826276,3.6357060007600004,36
./map-2-37.native,7.795814770360001,0.014387814681617699,7.794423716260001,7.792524500000001,0.0030237,7.77443877176,7.82194571176,37
./map-1-37.native,7.790028744259999,0.013984044769642656,7.7865964637600005,7.7861317,0.00363606,7.77794249176,7.82630524276,37
./map-2-38.native,6.94710866236,0.011771660692845659,6.951986206760001,6.945742100000001,0.00119784,6.927647906760001,6.95930243076,38
./map-1-38.native,6.698236145859999,0.009109267297512364,6.69695428476,6.6966204000000005,0.0014615799999999999,6.68387914776,6.71384967176,38
./map-2-39.native,2.19635619586,0.013658107218543856,2.20048094426,2.1945376999999997,0.0018241999999999998,2.17624690876,2.2157319127600004,39
./map-1-39.native,2.19561541326,0.008541105331191325,2.19859146726,2.1930218000000004,0.00259576,2.18165634576,2.2058852787600003,39
./map-2-40.native,4.926716493460001,0.016235592998718476,4.93357718026,4.9253572000000005,0.0012796399999999999,4.89868891176,4.94173499376,40
./map-1-40.native,4.70398657436,0.003319174414912987,4.704220705760001,4.702127500000001,0.0017350599999999996,4.6983123117600005,4.70905607576,40
./map-2-41.native,4.302795278860001,0.012640127179852065,4.309102896760001,4.3013804,0.0013651399999999997,4.2827082907600005,4.31749631876,41
./map-1-41.native,4.098286354160001,0.01150142299810766,4.10141023876,4.0970207,0.0011941,4.07908277576,4.11493463476,41
./map-2-42.native,6.988287452659999,0.007802091869992119,6.98995692726,6.986408,0.0016338199999999998,6.97076899276,6.99561646276,42
./map-1-42.native,6.73619497626,0.012880910333343177,6.73383311476,6.7337986999999995,0.0022303999999999996,6.7180126517600005,6.759427097760001,42
./map-2-43.native,0.45181111345999997,0.009098922938374535,0.45547284526,0.45017189999999996,0.0016981599999999996,0.43334127476,0.45922740476,43
./map-1-43.native,0.4530182723599999,0.008962259078714308,0.45661909426,0.45160909999999993,0.0015085399999999998,0.43909899976,0.46165639676000003,43
./map-2-44.native,4.520177326560001,0.0070767912708804715,4.52188309326,4.518997199999999,0.0010544399999999998,4.5077143497600005,4.527853068760001,44
./map-1-44.native,4.30355592376,0.015345137913157688,4.29811762676,4.300693,0.0027521199999999994,4.284213401760001,4.32790642676,44
./map-2-45.native,3.0697173579600006,0.010263544400258033,3.0655036752600004,3.0673622999999997,0.00224708,3.0577437077600003,3.08787100276,45
./map-1-45.native,3.0760870691599997,0.006677601475486852,3.07789797626,3.0742335,0.0017969599999999998,3.0593233357600003,3.08157447576,45
./map-2-46.native,9.795104532760002,0.016674024192818795,9.80244974376,9.7926361,0.0020572,9.76361515176,9.814059587760001,46
./map-1-46.native,10.05788563176,0.013633916633337828,10.056531001260002,10.0540628,0.0034247799999999997,10.034765225760001,10.077856626760001,46
./map-2-47.native,4.18126328566,0.0107218454788761,4.185839290260001,4.179840200000001,0.00117442,4.16481417276,4.1926960197600005,47
./map-1-47.native,3.8985238873599997,0.004062842864818743,3.8992192992600003,3.89633,0.00203396,3.8902839027600002,3.90470195976,47
./map-2-48.native,6.13119625846,0.009348458510467075,6.131925773260001,6.128295100000001,0.0026718799999999997,6.1141193107600005,6.1446102197600005,48
./map-1-48.native,5.987883721759999,0.010350670745852025,5.98905144026,5.985456900000001,0.0021799199999999997,5.968560007760001,6.0037701957600005,48
./map-2-49.native,0.78566298716,0.007878918227049374,0.78996211676,0.7850663,0.00067612,0.77304522176,0.79286393276,49
./map-1-49.native,0.7975772311600001,0.008431853469900115,0.80002462626,0.7959379999999999,0.0016756399999999997,0.7803684577600001,0.80670191376,49
./map-2-50.native,5.33628875216,0.008369140552137055,5.33493016676,5.3345607,0.0014233999999999998,5.3254435227600005,5.34714735076,50
./map-1-50.native,5.68388704236,0.005512229792957567,5.68413937526,5.6814902,0.00220726,5.67461245476,5.69129675676,50
./map-2-51.native,2.7120194792600003,0.009043950204546946,2.71312370276,2.7085446,0.0033352399999999997,2.69300972976,2.7221439587600003,51
./map-1-51.native,2.7056837175600004,0.009212839764907542,2.70524038726,2.703998,0.00167654,2.6917190267600004,2.7185505787600004,51
./map-2-52.native,2.79271966136,0.011522767831191843,2.79161869826,2.7904362999999996,0.0022209,2.7787174337600002,2.8063154577600002,52
./map-1-52.native,2.80981772256,0.011383532141441879,2.8140418492600006,2.8087476999999996,0.0010453399999999999,2.7839620827600005,2.82197460776,52
./map-2-53.native,6.42492279656,0.009007480852787568,6.42772722926,6.422525899999999,0.00222,6.40817929576,6.4354441407600005,53
./map-1-53.native,6.418056050660001,0.010664952299121679,6.4140976177599995,6.416795800000001,0.00104544,6.40532694076,6.43455217276,53
./map-2-54.native,10.04133712926,0.013129491999179167,10.04628175626,10.038604900000001,0.00226008,10.02172413676,10.05745785176,54
./map-1-54.native,10.306716788660001,0.017257456628201318,10.30493533576,10.303283500000001,0.00298102,10.26834546976,10.33027903176,54
./map-2-55.native,0.9473461392600001,0.010945194145230073,0.9501839077600001,0.9461763,0.0011954399999999999,0.92546016876,0.96378095076,55
./map-1-55.native,0.95278492786,0.008992077276875725,0.95511984076,0.9505650000000001,0.0021670199999999995,0.93744881376,0.96180621976,55
./map-2-56.native,10.88522213186,0.014362751760452193,10.88222875476,10.881820699999999,0.0027247799999999996,10.86622273976,10.91064664476,56
./map-1-56.native,10.125279152160001,0.01620904196389129,10.12745843126,10.124224,0.00067548,10.09583103376,10.14994703276,56
./map-2-57.native,0.54000453906,0.009122509399365618,0.54282969276,0.5386617000000001,0.0014029,0.52319185976,0.54927096076,57
./map-1-57.native,0.55208426646,0.007826804127920209,0.55551852426,0.5503465000000001,0.0018035999999999996,0.53732822076,0.55748192476,57
./map-2-58.native,6.25927872776,0.00700595183107589,6.26041858626,6.255955300000002,0.0029180199999999995,6.24653923776,6.26914974576,58
./map-1-58.native,6.099809442960001,0.008557928356120481,6.099838394260001,6.098393799999999,0.0010490399999999998,6.08802330776,6.11376398476,58
./map-2-59.native,2.41082374456,0.010836526925644893,2.41411870476,2.4095510999999994,0.0012761399999999998,2.38901322376,2.41993522976,59
./map-1-59.native,2.4402270694600006,0.006594194637590598,2.44249806076,2.4371099,0.00298512,2.4278854987600003,2.4456475397600004,59
./map-2-60.native,3.2234419884600003,0.01140853720791313,3.22067742376,3.2223772999999993,0.00104064,3.20949497576,3.24156695376,60
./map-1-60.native,3.2621610540600003,0.008462181129157273,3.2627149942600004,3.2611403,0.0009699999999999998,3.24996412676,3.2714524497600004,60
./map-2-61.native,5.105101581560001,0.009041278270532334,5.1071654657600005,5.102791000000001,0.0021157199999999998,5.08822071176,5.11594926476,61
./map-1-61.native,5.435895630559999,0.0071060028107054725,5.43619807676,5.4339125,0.0018226,5.423059625760001,5.44829133976,61
./map-2-62.native,10.175701679560001,0.037229564907228896,10.17066349676,10.1713072,0.00392358,10.14637301276,10.27502655676,62
./map-1-62.native,10.432627061360002,0.0051184240287467184,10.43391258326,10.4289033,0.0031469199999999997,10.42123686876,10.440096090760001,62
./map-2-63.native,4.746847453059999,0.014355870760088454,4.74684108826,4.7449840000000005,0.0015751599999999997,4.72145119476,4.771277378760001,63
./map-1-63.native,4.97351894206,0.012443226756247495,4.97363865726,4.9718513,0.0014294999999999998,4.951768871760001,4.99151465976,63
./map-2-64.native,5.161708300159999,0.004489671499272917,5.16205617176,5.159398,0.00197236,5.15441415376,5.16894938076,64
./map-1-64.native,4.9610626062600005,0.007039307727229794,4.963158032260001,4.958046,0.0027707599999999997,4.94798726576,4.97135531476,64
./map-2-65.native,4.37181117146,0.004156100869054145,4.37058426376,4.3696404,0.00203426,4.36727202576,4.38191588276,65
./map-1-65.native,4.59561743126,0.013538423788273756,4.5982382387600005,4.5928677,0.0024573,4.56751714176,4.6135882847600005,65
./map-2-66.native,0.8366832679600001,0.009365561879120942,0.84118580826,0.8353176,0.0014115,0.82274008976,0.8468954857600001,66
./map-1-66.native,0.85794905066,0.007091758514456307,0.86091694176,0.8568027,0.0011748999999999998,0.84450565376,0.86454597276,66
./map-2-67.native,0.86532729706,0.008441738524288887,0.8692889827600001,0.8639771999999999,0.0014068000000000002,0.85108028376,0.87245963776,67
./map-1-67.native,0.8702652588600002,0.010192782768985522,0.87145520676,0.8696313,0.0006977999999999999,0.85898875776,0.88110403376,67
./map-2-68.native,8.211916503560001,0.016751997840063017,8.20675097376,8.2088982,0.0026682599999999996,8.19894992076,8.25684564976,68
./map-1-68.native,8.20696734006,0.01226980120069526,8.20647562076,8.203151000000002,0.00329358,8.18939538176,8.22614508476,68
./map-2-69.native,7.482512983560001,0.009926369598141053,7.4827727707600005,7.4802656999999995,0.0020330599999999997,7.45984593776,7.49673647076,69
./map-1-69.native,7.46091259936,0.015272609651139248,7.46374714726,7.458754400000001,0.0016360199999999997,7.43519567376,7.48191059176,69
./map-2-70.native,9.566201040160001,0.013443941709413326,9.56289638626,9.5650096,0.00068538,9.54777888576,9.59324023776,70
./map-1-70.native,9.686491420260001,0.013308353492401231,9.68594365376,9.6841951,0.0018184599999999998,9.66251813776,9.70889678876,70
./map-2-71.native,3.5179521180600006,0.007089350974096036,3.5205790402600003,3.5150467999999995,0.00281772,3.5032096107600004,3.5265129667600004,71
./map-1-71.native,3.6463221094600002,0.011388822210508317,3.6479398347600003,3.6436398999999993,0.00259976,3.6291142257600004,3.6606046047600005,71
./map-2-72.native,0.85308206186,0.007326524742227296,0.8555644437600001,0.8505417,0.0025324799999999997,0.83356608476,0.8594531777600001,72
./map-1-72.native,0.86601571526,0.010091615586698877,0.8704768297600001,0.8650532999999999,0.0010365399999999999,0.85266804376,0.8766457117600001,72
./map-2-73.native,3.24419565246,0.011576660340166462,3.24372910476,3.2417062999999997,0.0024556999999999995,3.2278985777600004,3.26983050276,73
